"0","Yard onto American last hope","99","Red","Point fire foreign provide","91.61","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"1","Offer to second method","321","Red","South cover customer entire police building voice two","313.54","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"2","Center cause support defense cold","60","Red","Baby prepare important less seven store home story","252.08","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"3","Well weight","11","Blue","Out break but others rate difficult manager professor","495.14","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"4","Similar employee apply","214","Yellow","Difference color ball leave woman","39.86","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"5","Fly seem indeed hair baby","64","Purple","Analysis specific son black third change","154.98","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"6","Economic determine loss","168","Red","Manager threat tough material often dream","389.84","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"7","Subject vote occur able record","309","Yellow","Coach success conference exist how","291.76","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"8","Bit lot response","184","Green","Subject worry buy dream them never respond although stand","343.66","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"9","Company hit possible","419","Yellow","Serious perform cultural per note right food information seat at","310.11","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"10","Soldier both fact store","275","Red","Agreement after consider machine staff stop effect","22.37","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"11","Security walk show","227","Yellow","Available help official third take free place charge","499.14","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"12","Understand actually something","491","Red","Congress interview campaign attention as former food shake","482.80","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
"13","Why group her at","170","Blue","Challenge discussion project hard true","0.24","https://i.insider.com/602ee9ced3ad27001837f2ac?width=750&format=jpeg&auto=webp"
